Species,Area,Units,Country
AAS,27.3,TLW,DK
AAS,27,TLW,DK
AAS,27.3.a,TLW,DK
AAS,27.3.c.22,TLW,DK
ABK,27.4,TLW,DK
ABK,27,TLW,DK
ABK,27.4.b,TLW,DK
ABK,27.3,TLW,EE
ABK,27,TLW,EE
ABK,27.3.d,TLW,EE
ABK,27.3.d.28,TLW,EE
ABK,27.3.d.28.1,TLW,EE
ABK,27.3.d.29,TLW,EE
ABK,27.3.d.32,TLW,EE
ABK,27.3,TLW,LT
ABK,27,TLW,LT
ABK,27.3.d,TLW,LT
ABK,27.3.d.26,TLW,LT
ABK,27.3,TLW,LV
ABK,27,TLW,LV
ABK,27.3.d,TLW,LV
ABK,27.3.d.26,TLW,LV
ABK,27.3.d.28,TLW,LV
ABK,27.3.d.28.1,TLW,LV
ABK,27.3.d.28.2,TLW,LV
ABK,27.3.d.28_NK,TLW,LV
ABK,27.4,TLW,NL
ABK,27,TLW,NL
ABK,27.4.b,TLW,NL
ABK,27.3,TLW,PL
ABK,27,TLW,PL
ABK,27.3.d,TLW,PL
ABK,27.3.d.24,TLW,PL
ABK,27.3.d.25,TLW,PL
ABK,27.3.d.26,TLW,PL
ABK,27.3,TLW,RU
ABK,27,TLW,RU
ABK,27.3.d,TLW,RU
ABK,27.3.d.26,TLW,RU
ABK,27.3.d.32,TLW,RU
ABX,27.7,TLW,IE
ABX,27,TLW,IE
ABX,27.7.j,TLW,IE
ABX,27.7.j_NK,TLW,IE
ABX,27.7,TLW,JE
ABX,27,TLW,JE
ABX,27.7.e,TLW,JE
ABX,27.9,TLW,PT
ABX,27,TLW,PT
ABX,27.1,TLW,PT
ABX,27.10.a,TLW,PT
ABX,27.10.a.1,TLW,PT
ABX,27.10.b,TLW,PT
ABX,27.9.a,TLW,PT
ABX,27.9.b,TLW,PT
ABX,27.9.b.1,TLW,PT
ABZ,27.3,TLW,EE
ABZ,27,TLW,EE
ABZ,27.3.d,TLW,EE
ABZ,27.3.d.28,TLW,EE
ABZ,27.3.d.28.1,TLW,EE
ACC,27.3,TLW,EE
ACC,27,TLW,EE
ACC,27.3.d,TLW,EE
ACC,27.3.d.28,TLW,EE
ACC,27.3.d.28.1,TLW,EE
ACC,27.3.d.28.2,TLW,EE
ACC,27.3.d.29,TLW,EE
ACC,27.3.d.32,TLW,EE
ACC,27.3,TLW,LT
ACC,27,TLW,LT
ACC,27.3.d,TLW,LT
ACC,27.3.d_NK,TLW,LT
ACC,27.3,TLW,LV
ACC,27,TLW,LV
ACC,27.3.d,TLW,LV
ACC,27.3.d.28,TLW,LV
ACC,27.3.d.28.1,TLW,LV
ACC,27.3.d.28_NK,TLW,LV
ACC,27.3,TLW,PL
ACC,27,TLW,PL
ACC,27.3.d,TLW,PL
ACC,27.3.d.24,TLW,PL
ACC,27.3.d.25,TLW,PL
ACC,27.3.d.26,TLW,PL
ACC,27.3,TLW,RU
ACC,27,TLW,RU
ACC,27.3.d,TLW,RU
ACC,27.3.d.26,TLW,RU
ACC,27.3.d.32,TLW,RU
ACC,27.3,TLW,SE
ACC,27,TLW,SE
ACC,27.3.d,TLW,SE
ACC,27.3.d.25,TLW,SE
ACH,27.3,TLW,NO
ACH,27.4,TLW,NO
ACH,27,TLW,NO
ACH,27.3.a,TLW,NO
ACH,27.4.a,TLW,NO
AES,27.4,TLW,DE
AES,27,TLW,DE
AES,27.4.b,TLW,DE
AES,27.9,TLW,ES
AES,27,TLW,ES
AES,27.9.a,TLW,ES
AES,27.4,TLW,GB
AES,27.7,TLW,GB
AES,27,TLW,GB
AES,27.4.b,TLW,GB
AES,27.4.c,TLW,GB
AES,27.7.a,TLW,GB
AES,27.14,TLW,GL
AES,27,TLW,GL
AES,27.14.b,TLW,GL
AES,27.4,TLW,NL
AES,27,TLW,NL
AES,27.4.b,TLW,NL
AES,27.4.c,TLW,NL
AGD,27.9,TLW,PT
AGD,27,TLW,PT
AGD,27.9.a,TLW,PT
AGK,27,TLW,PT
AGK,27.1,TLW,PT
AGK,27.10.a,TLW,PT
AGK,27.10.a.2,TLW,PT
AGK,27.10.a_NK,TLW,PT
AGK,27.10_NK,TLW,PT
AGN,27.2,TLW,EE
AGN,27,TLW,EE
AGN,27.2.b,TLW,EE
AGN,27.2.b_NK,TLW,EE
AGN,27.8,TLW,ES
AGN,27.9,TLW,ES
AGN,27,TLW,ES
AGN,27.8.b,TLW,ES
AGN,27.8.c,TLW,ES
AGN,27.9.a,TLW,ES
AGN,27.4,TLW,FR
AGN,27.6,TLW,FR
AGN,27.7,TLW,FR
AGN,27.8,TLW,FR
AGN,27,TLW,FR
AGN,27.4.c,TLW,FR
AGN,27.6.a,TLW,FR
AGN,27.7.a,TLW,FR
AGN,27.7.b,TLW,FR
AGN,27.7.d,TLW,FR
AGN,27.7.e,TLW,FR
AGN,27.7.f,TLW,FR
AGN,27.7.g,TLW,FR
AGN,27.7.h,TLW,FR
AGN,27.7.j,TLW,FR
AGN,27.7.j_NK,TLW,FR
AGN,27.8.a,TLW,FR
AGN,27.8.b,TLW,FR
AGN,27.8_NK,TLW,FR
AGN,27_NK,TLW,FR
AGN,27.7,TLW,GB
AGN,27,TLW,GB
AGN,27.7.a,TLW,GB
AGN,27.7.b,TLW,GB
AGN,27.7.c,TLW,GB
AGN,27.7.c_NK,TLW,GB
AGN,27.7.d,TLW,GB
AGN,27.7.e,TLW,GB
AGN,27.7.f,TLW,GB
AGN,27.7.g,TLW,GB
AGN,27.7.h,TLW,GB
AGN,27.7.j,TLW,GB
AGN,27.7.j_NK,TLW,GB
AGN,27.7.k,TLW,GB
AGN,27.7.k_NK,TLW,GB
AHN,27.8,TLW,PT
AHN,27.9,TLW,PT
AHN,27,TLW,PT
AHN,27.1,TLW,PT
AHN,27.10.a,TLW,PT
AHN,27.10.a.2,TLW,PT
AHN,27.8.c,TLW,PT
AHN,27.9.a,TLW,PT
AHN,27.9_NK,TLW,PT
AKJ,27.9,TLW,ES
AKJ,27,TLW,ES
AKJ,27.9.a,TLW,ES
AKL,27.9,TLW,PT
AKL,27,TLW,PT
AKL,27.9.a,TLW,PT
AKL,27.9_NK,TLW,PT
ALB,27,TLW,CN
ALB,27_NK,TLW,CN
ALB,27.12,TLW,ES
ALB,27.14,TLW,ES
ALB,27.3,TLW,ES
ALB,27.6,TLW,ES
ALB,27.7,TLW,ES
ALB,27.8,TLW,ES
ALB,27.9,TLW,ES
ALB,27,TLW,ES
ALB,27.1,TLW,ES
ALB,27.10.a,TLW,ES
ALB,27.10.a.1,TLW,ES
ALB,27.10.a.2,TLW,ES
ALB,27.10.b,TLW,ES
ALB,27.10_NK,TLW,ES
ALB,27.12.a,TLW,ES
ALB,27.12.a.1,TLW,ES
ALB,27.12.a.2,TLW,ES
ALB,27.12.a.3,TLW,ES
ALB,27.12.a.4,TLW,ES
ALB,27.12.c,TLW,ES
ALB,27.12_NK,TLW,ES
ALB,27.14.a,TLW,ES
ALB,27.14.b,TLW,ES
ALB,27.14.b_NK,TLW,ES
ALB,27.3.c.22,TLW,ES
ALB,27.6.a,TLW,ES
ALB,27.6.b,TLW,ES
ALB,27.6.b.1,TLW,ES
ALB,27.6.b_NK,TLW,ES
ALB,27.7.a,TLW,ES
ALB,27.7.b,TLW,ES
ALB,27.7.c,TLW,ES
ALB,27.7.c.1,TLW,ES
ALB,27.7.c.2,TLW,ES
ALB,27.7.c_NK,TLW,ES
ALB,27.7.d,TLW,ES
ALB,27.7.e,TLW,ES
ALB,27.7.f,TLW,ES
ALB,27.7.g,TLW,ES
ALB,27.7.h,TLW,ES
ALB,27.7.j,TLW,ES
ALB,27.7.j.1,TLW,ES
ALB,27.7.j.2,TLW,ES
ALB,27.7.j_NK,TLW,ES
ALB,27.7.k,TLW,ES
ALB,27.7.k.1,TLW,ES
ALB,27.7.k.2,TLW,ES
ALB,27.7.k_NK,TLW,ES
ALB,27.8.a,TLW,ES
ALB,27.8.b,TLW,ES
ALB,27.8.c,TLW,ES
ALB,27.8.d,TLW,ES
ALB,27.8.d.1,TLW,ES
ALB,27.8.d.2,TLW,ES
ALB,27.8.d_NK,TLW,ES
ALB,27.8.e,TLW,ES
ALB,27.8.e.1,TLW,ES
ALB,27.8.e.2,TLW,ES
ALB,27.8.e_NK,TLW,ES
ALB,27.8_NK,TLW,ES
ALB,27.9.a,TLW,ES
ALB,27.9.b,TLW,ES
ALB,27.9.b.1,TLW,ES
ALB,27.9.b.2,TLW,ES
ALB,27.9.b_NK,TLW,ES
ALB,27.9_NK,TLW,ES
ALB,27.1,TLW,FR
ALB,27.12,TLW,FR
ALB,27.4,TLW,FR
ALB,27.5,TLW,FR
ALB,27.6,TLW,FR
ALB,27.7,TLW,FR
ALB,27.8,TLW,FR
ALB,27.9,TLW,FR
ALB,27,TLW,FR
ALB,27.1_NK,TLW,FR
ALB,27.1,TLW,FR
ALB,27.10.a,TLW,FR
ALB,27.10.a_NK,TLW,FR
ALB,27.10_NK,TLW,FR
ALB,27.12.a,TLW,FR
ALB,27.12.a_NK,TLW,FR
ALB,27.12_NK,TLW,FR
ALB,27.4.c,TLW,FR
ALB,27.5.b,TLW,FR
ALB,27.5.b_NK,TLW,FR
ALB,27.6.a,TLW,FR
ALB,27.6.b,TLW,FR
ALB,27.6.b_NK,TLW,FR
ALB,27.7.a,TLW,FR
ALB,27.7.b,TLW,FR
ALB,27.7.c,TLW,FR
ALB,27.7.c_NK,TLW,FR
ALB,27.7.d,TLW,FR
ALB,27.7.e,TLW,FR
ALB,27.7.f,TLW,FR
ALB,27.7.g,TLW,FR
ALB,27.7.h,TLW,FR
ALB,27.7.j,TLW,FR
ALB,27.7.j_NK,TLW,FR
ALB,27.7.k,TLW,FR
ALB,27.7.k_NK,TLW,FR
ALB,27.7_NK,TLW,FR
ALB,27.8.a,TLW,FR
ALB,27.8.b,TLW,FR
ALB,27.8.c,TLW,FR
ALB,27.8.d,TLW,FR
ALB,27.8.d_NK,TLW,FR
ALB,27.8.e,TLW,FR
ALB,27.8.e_NK,TLW,FR
ALB,27.8_NK,TLW,FR
ALB,27.9.a,TLW,FR
ALB,27.9.b,TLW,FR
ALB,27.9.b_NK,TLW,FR
ALB,27.9_NK,TLW,FR
ALB,27_NK,TLW,FR
ALB,27.12,TLW,GB
ALB,27.4,TLW,GB
ALB,27.6,TLW,GB
ALB,27.7,TLW,GB
ALB,27.8,TLW,GB
ALB,27,TLW,GB
ALB,27.1,TLW,GB
ALB,27.10.a,TLW,GB
ALB,27.10.a.2,TLW,GB
ALB,27.10.b,TLW,GB
ALB,27.10_NK,TLW,GB
ALB,27.12.c,TLW,GB
ALB,27.12_NK,TLW,GB
ALB,27.4.a,TLW,GB
ALB,27.6.a,TLW,GB
ALB,27.7.a,TLW,GB
ALB,27.7.c,TLW,GB
ALB,27.7.c.2,TLW,GB
ALB,27.7.d,TLW,GB
ALB,27.7.e,TLW,GB
ALB,27.7.f,TLW,GB
ALB,27.7.g,TLW,GB
ALB,27.7.h,TLW,GB
ALB,27.7.j,TLW,GB
ALB,27.7.j.2,TLW,GB
ALB,27.7.j_NK,TLW,GB
ALB,27.7.k,TLW,GB
ALB,27.7.k.1,TLW,GB
ALB,27.7.k.2,TLW,GB
ALB,27.7.k_NK,TLW,GB
ALB,27.8.a,TLW,GB
ALB,27.8.c,TLW,GB
ALB,27.8.d,TLW,GB
ALB,27.8.d.1,TLW,GB
ALB,27.8.d.2,TLW,GB
ALB,27.8.d_NK,TLW,GB
ALB,27.8.e,TLW,GB
ALB,27.8.e.1,TLW,GB
ALB,27.8.e.2,TLW,GB
ALB,27.8.e_NK,TLW,GB
ALB,27.8_NK,TLW,GB
ALB,27.12,TLW,IE
ALB,27.6,TLW,IE
ALB,27.7,TLW,IE
ALB,27.8,TLW,IE
ALB,27.9,TLW,IE
ALB,27,TLW,IE
ALB,27.1,TLW,IE
ALB,27.10.b,TLW,IE
ALB,27.12.b,TLW,IE
ALB,27.12.c,TLW,IE
ALB,27.12_NK,TLW,IE
ALB,27.6.a,TLW,IE
ALB,27.6.b,TLW,IE
ALB,27.6.b_NK,TLW,IE
ALB,27.7.a,TLW,IE
ALB,27.7.b,TLW,IE
ALB,27.7.c,TLW,IE
ALB,27.7.c_NK,TLW,IE
ALB,27.7.d,TLW,IE
ALB,27.7.g,TLW,IE
ALB,27.7.h,TLW,IE
ALB,27.7.j,TLW,IE
ALB,27.7.j.1,TLW,IE
ALB,27.7.j.2,TLW,IE
ALB,27.7.j_NK,TLW,IE
ALB,27.7.k,TLW,IE
ALB,27.7.k.1,TLW,IE
ALB,27.7.k.2,TLW,IE
ALB,27.7.k_NK,TLW,IE
ALB,27.8.a,TLW,IE
ALB,27.8.b,TLW,IE
ALB,27.8.c,TLW,IE
ALB,27.8.d,TLW,IE
ALB,27.8.d.1,TLW,IE
ALB,27.8.d_NK,TLW,IE
ALB,27.8.e,TLW,IE
ALB,27.8.e.1,TLW,IE
ALB,27.8.e.2,TLW,IE
ALB,27.8.e_NK,TLW,IE
ALB,27.9.b,TLW,IE
ALB,27.9.b.1,TLW,IE
ALB,27.9.b.2,TLW,IE
ALB,27,TLW,JP
ALB,27_NK,TLW,JP
ALB,27.4,TLW,NL
ALB,27,TLW,NL
ALB,27.4.c,TLW,NL
ALB,27.7,TLW,PT
ALB,27.8,TLW,PT
ALB,27.9,TLW,PT
ALB,27,TLW,PT
ALB,27.1,TLW,PT
ALB,27.10.a,TLW,PT
ALB,27.10.a.1,TLW,PT
ALB,27.10.a.2,TLW,PT
ALB,27.10.a_NK,TLW,PT
ALB,27.10.b,TLW,PT
ALB,27.10_NK,TLW,PT
ALB,27.7.j,TLW,PT
ALB,27.7.j_NK,TLW,PT
ALB,27.7.k,TLW,PT
ALB,27.7.k_NK,TLW,PT
ALB,27.8.c,TLW,PT
ALB,27.8.d,TLW,PT
ALB,27.8.d.1,TLW,PT
ALB,27.8.d.2,TLW,PT
ALB,27.8.d_NK,TLW,PT
ALB,27.8.e,TLW,PT
ALB,27.8.e.1,TLW,PT
ALB,27.8.e.2,TLW,PT
ALB,27.8.e_NK,TLW,PT
ALB,27.9.a,TLW,PT
ALB,27.9.b,TLW,PT
ALB,27.9.b.1,TLW,PT
ALB,27.9.b.2,TLW,PT
ALB,27.9.b_NK,TLW,PT
ALB,27.9_NK,TLW,PT
ALB,27_NK,TLW,PT
ALB,27,TLW,TW
ALB,27_NK,TLW,TW
ALC,27.14,TLW,DE
ALC,27.6,TLW,DE
ALC,27,TLW,DE
ALC,27.14.a,TLW,DE
ALC,27.6.a,TLW,DE
ALC,27.6.b,TLW,DE
ALC,27.6.b_NK,TLW,DE
ALC,27.6,TLW,EE
ALC,27,TLW,EE
ALC,27.6.b,TLW,EE
ALC,27.6.b_NK,TLW,EE
ALC,27.12,TLW,ES
ALC,27.14,TLW,ES
ALC,27.6,TLW,ES
ALC,27.7,TLW,ES
ALC,27,TLW,ES
ALC,27.12.a,TLW,ES
ALC,27.12.a.1,TLW,ES
ALC,27.12.b,TLW,ES
ALC,27.12_NK,TLW,ES
ALC,27.14.a,TLW,ES
ALC,27.14.b,TLW,ES
ALC,27.14.b_NK,TLW,ES
ALC,27.6.a,TLW,ES
ALC,27.6.b,TLW,ES
ALC,27.6.b.1,TLW,ES
ALC,27.6.b_NK,TLW,ES
ALC,27.6_NK,TLW,ES
ALC,27.7.c,TLW,ES
ALC,27.7.c_NK,TLW,ES
ALC,27.4,TLW,FR
ALC,27.6,TLW,FR
ALC,27,TLW,FR
ALC,27.4.a,TLW,FR
ALC,27.6.a,TLW,FR
ALC,27.4,TLW,GB
ALC,27.7,TLW,GB
ALC,27.8,TLW,GB
ALC,27,TLW,GB
ALC,27.4.b,TLW,GB
ALC,27.7.c,TLW,GB
ALC,27.7.c_NK,TLW,GB
ALC,27.7.j,TLW,GB
ALC,27.7.j_NK,TLW,GB
ALC,27.7.k,TLW,GB
ALC,27.7.k_NK,TLW,GB
ALC,27.8.d,TLW,GB
ALC,27.8.d_NK,TLW,GB
ALC,27.7,TLW,IE
ALC,27,TLW,IE
ALC,27.7.k,TLW,IE
ALC,27.7.k_NK,TLW,IE
ALC,27.12,TLW,IS
ALC,27.14,TLW,IS
ALC,27.5,TLW,IS
ALC,27,TLW,IS
ALC,27.12_NK,TLW,IS
ALC,27.14.b,TLW,IS
ALC,27.14.b.2,TLW,IS
ALC,27.5.a,TLW,IS
ALC,27.5.a.1,TLW,IS
ALC,27.5.a.2,TLW,IS
ALC,27.5.a_NK,TLW,IS
ALC,27.12,TLW,LT
ALC,27.6,TLW,LT
ALC,27.7,TLW,LT
ALC,27,TLW,LT
ALC,27.12.a,TLW,LT
ALC,27.12.a.1,TLW,LT
ALC,27.12_NK,TLW,LT
ALC,27.6.b,TLW,LT
ALC,27.6.b.1,TLW,LT
ALC,27.6_NK,TLW,LT
ALC,27.7.c,TLW,LT
ALC,27.7.c.1,TLW,LT
ALC,27.12,TLW,PL
ALC,27.6,TLW,PL
ALC,27,TLW,PL
ALC,27.12_NK,TLW,PL
ALC,27.6.b,TLW,PL
ALC,27.6.b_NK,TLW,PL
ALC,27.9,TLW,PT
ALC,27,TLW,PT
ALC,27.9.a,TLW,PT
ALC,27.12,TLW,RU
ALC,27.14,TLW,RU
ALC,27.5,TLW,RU
ALC,27.6,TLW,RU
ALC,27,TLW,RU
ALC,27.12_NK,TLW,RU
ALC,27.14.a,TLW,RU
ALC,27.5.b,TLW,RU
ALC,27.5.b.1,TLW,RU
ALC,27.5.b.1_NK,TLW,RU
ALC,27.6.b,TLW,RU
ALC,27.6.b_NK,TLW,RU
ALE,27.8,TLW,PT
ALE,27.9,TLW,PT
ALE,27,TLW,PT
ALE,27.8.d,TLW,PT
ALE,27.8.d.2,TLW,PT
ALE,27.9.a,TLW,PT
ALE,27.9_NK,TLW,PT
ALF,27.12,TLW,ES
ALF,27.6,TLW,ES
ALF,27.7,TLW,ES
ALF,27.8,TLW,ES
ALF,27.9,TLW,ES
ALF,27,TLW,ES
ALF,27.12.a,TLW,ES
ALF,27.12.a.1,TLW,ES
ALF,27.6.a,TLW,ES
ALF,27.6.b,TLW,ES
ALF,27.6.b_NK,TLW,ES
ALF,27.7.c,TLW,ES
ALF,27.7.c_NK,TLW,ES
ALF,27.7.h,TLW,ES
ALF,27.7.j,TLW,ES
ALF,27.7.j.2,TLW,ES
ALF,27.7.j_NK,TLW,ES
ALF,27.7.k,TLW,ES
ALF,27.7.k_NK,TLW,ES
ALF,27.8.a,TLW,ES
ALF,27.8.b,TLW,ES
ALF,27.8.c,TLW,ES
ALF,27.8.d,TLW,ES
ALF,27.8.d.1,TLW,ES
ALF,27.8.d.2,TLW,ES
ALF,27.8.d_NK,TLW,ES
ALF,27.9.a,TLW,ES
ALF,27.12,TLW,FO
ALF,27.5,TLW,FO
ALF,27,TLW,FO
ALF,27.1,TLW,FO
ALF,27.10_NK,TLW,FO
ALF,27.12_NK,TLW,FO
ALF,27.5.b,TLW,FO
ALF,27.5.b.1,TLW,FO
ALF,27.5.b.1_NK,TLW,FO
ALF,27.5,TLW,FR
ALF,27.6,TLW,FR
ALF,27.7,TLW,FR
ALF,27.8,TLW,FR
ALF,27,TLW,FR
ALF,27.5.b,TLW,FR
ALF,27.5.b_NK,TLW,FR
ALF,27.6.a,TLW,FR
ALF,27.6.b,TLW,FR
ALF,27.6.b_NK,TLW,FR
ALF,27.7.b,TLW,FR
ALF,27.7.c,TLW,FR
ALF,27.7.c_NK,TLW,FR
ALF,27.7.e,TLW,FR
ALF,27.7.g,TLW,FR
ALF,27.7.h,TLW,FR
ALF,27.7.j,TLW,FR
ALF,27.7.j_NK,TLW,FR
ALF,27.7.k,TLW,FR
ALF,27.7.k_NK,TLW,FR
ALF,27.8.a,TLW,FR
ALF,27.8.b,TLW,FR
ALF,27.8.c,TLW,FR
ALF,27.8.d,TLW,FR
ALF,27.8.d_NK,TLW,FR
ALF,27.8_NK,TLW,FR
ALF,27_NK,TLW,FR
ALF,27.4,TLW,GB
ALF,27.6,TLW,GB
ALF,27.7,TLW,GB
ALF,27.8,TLW,GB
ALF,27,TLW,GB
ALF,27.4.a,TLW,GB
ALF,27.4.b,TLW,GB
ALF,27.6.a,TLW,GB
ALF,27.6.b,TLW,GB
ALF,27.6.b.2,TLW,GB
ALF,27.6.b_NK,TLW,GB
ALF,27.7.c,TLW,GB
ALF,27.7.c.2,TLW,GB
ALF,27.7.c_NK,TLW,GB
ALF,27.7.g,TLW,GB
ALF,27.7.h,TLW,GB
ALF,27.7.j,TLW,GB
ALF,27.7.j.2,TLW,GB
ALF,27.7.j_NK,TLW,GB
ALF,27.7.k,TLW,GB
ALF,27.7.k.2,TLW,GB
ALF,27.7.k_NK,TLW,GB
ALF,27.8.a,TLW,GB
ALF,27.8.b,TLW,GB
ALF,27.8.d,TLW,GB
ALF,27.8.d.2,TLW,GB
ALF,27.8.d_NK,TLW,GB
ALF,27.7,TLW,IE
ALF,27,TLW,IE
ALF,27.7.k,TLW,IE
ALF,27.7.k_NK,TLW,IE
ALF,27.12,TLW,IS
ALF,27,TLW,IS
ALF,27.12_NK,TLW,IS
ALF,27.7,TLW,PT
ALF,27.8,TLW,PT
ALF,27.9,TLW,PT
ALF,27,TLW,PT
ALF,27.1,TLW,PT
ALF,27.10_NK,TLW,PT
ALF,27.7.j,TLW,PT
ALF,27.7.j.2,TLW,PT
ALF,27.8.c,TLW,PT
ALF,27.9.a,TLW,PT
ALF,27.9.b,TLW,PT
ALF,27.9.b.1,TLW,PT
ALF,27.9.b.2,TLW,PT
ALF,27.9.b_NK,TLW,PT
ALF,27.9_NK,TLW,PT
ALF,27,TLW,RU
ALF,27.1,TLW,RU
ALF,27.10_NK,TLW,RU
ALK,27.7,TLW,FR
ALK,27,TLW,FR
ALK,27.7.e,TLW,FR
ALM,27.9,TLW,ES
ALM,27,TLW,ES
ALM,27.8,TLW,ES
ALM,27.8.c,TLW,ES
ALM,27.9.a,TLW,ES
ALR,27.3,TLW,EE
ALR,27,TLW,EE
ALR,27.3.d,TLW,EE
ALR,27.3.d.28,TLW,EE
ALR,27.3.d.28.1,TLW,EE
ALR,27.3.d.29,TLW,EE
ALR,27.3.d.32,TLW,EE
ALR,27.7,TLW,FR
ALR,27,TLW,FR
ALR,27.7.d,TLW,FR
ALR,27.3,TLW,LV
ALR,27,TLW,LV
ALR,27.3.d,TLW,LV
ALR,27.3.d.28,TLW,LV
ALR,27.3.d.28.1,TLW,LV
ALR,27.3,TLW,RU
ALR,27,TLW,RU
ALR,27.3.d,TLW,RU
ALR,27.3.d.26,TLW,RU
ALR,27.3.d.32,TLW,RU
ALV,27.7,TLW,ES
ALV,27.8,TLW,ES
ALV,27.9,TLW,ES
ALV,27,TLW,ES
ALV,27.1,TLW,ES
ALV,27.10_NK,TLW,ES
ALV,27.7.j,TLW,ES
ALV,27.7.j_NK,TLW,ES
ALV,27.7.k,TLW,ES
ALV,27.7.k_NK,TLW,ES
ALV,27.8.a,TLW,ES
ALV,27.8.b,TLW,ES
ALV,27.8.c,TLW,ES
ALV,27.8.d,TLW,ES
ALV,27.8.d.1,TLW,ES
ALV,27.8.d_NK,TLW,ES
ALV,27.9.a,TLW,ES
ALV,27.9.b,TLW,ES
ALV,27.9.b.1,TLW,ES
ALV,27.9.b_NK,TLW,ES
ALV,27.12,TLW,FR
ALV,27.4,TLW,FR
ALV,27.5,TLW,FR
ALV,27.6,TLW,FR
ALV,27.7,TLW,FR
ALV,27.8,TLW,FR
ALV,27,TLW,FR
ALV,27.1,TLW,FR
ALV,27.10_NK,TLW,FR
ALV,27.12_NK,TLW,FR
ALV,27.4.c,TLW,FR
ALV,27.5.b,TLW,FR
ALV,27.5.b.1,TLW,FR
ALV,27.5.b.1_NK,TLW,FR
ALV,27.6.a,TLW,FR
ALV,27.7.a,TLW,FR
ALV,27.7.b,TLW,FR
ALV,27.7.c,TLW,FR
ALV,27.7.c_NK,TLW,FR
ALV,27.7.d,TLW,FR
ALV,27.7.e,TLW,FR
ALV,27.7.f,TLW,FR
ALV,27.7.g,TLW,FR
ALV,27.7.h,TLW,FR
ALV,27.7.j,TLW,FR
ALV,27.7.j_NK,TLW,FR
ALV,27.7.k,TLW,FR
ALV,27.7.k_NK,TLW,FR
ALV,27.8.a,TLW,FR
ALV,27.8.b,TLW,FR
ALV,27.8.c,TLW,FR
ALV,27.8.d,TLW,FR
ALV,27.8.d_NK,TLW,FR
ALV,27.8.e,TLW,FR
ALV,27.8.e_NK,TLW,FR
ALV,27.8_NK,TLW,FR
ALV,27_NK,TLW,FR
ALV,27.7,TLW,IE
ALV,27.8,TLW,IE
ALV,27,TLW,IE
ALV,27.7.g,TLW,IE
ALV,27.8.d,TLW,IE
ALV,27.8.d_NK,TLW,IE
ALV,27.7,TLW,PT
ALV,27.8,TLW,PT
ALV,27.9,TLW,PT
ALV,27,TLW,PT
ALV,27.1,TLW,PT
ALV,27.10.a,TLW,PT
ALV,27.10.a_NK,TLW,PT
ALV,27.10.b,TLW,PT
ALV,27.10_NK,TLW,PT
ALV,27.7.j,TLW,PT
ALV,27.7.j_NK,TLW,PT
ALV,27.7.k,TLW,PT
ALV,27.7.k_NK,TLW,PT
ALV,27.8.c,TLW,PT
ALV,27.8.d,TLW,PT
ALV,27.8.d_NK,TLW,PT
ALV,27.8.e,TLW,PT
ALV,27.8.e_NK,TLW,PT
ALV,27.9.a,TLW,PT
ALV,27.9.b,TLW,PT
ALV,27.9.b_NK,TLW,PT
ALV,27.9_NK,TLW,PT
AMB,27.12,TLW,ES
AMB,27.8,TLW,ES
AMB,27.9,TLW,ES
AMB,27,TLW,ES
AMB,27.1,TLW,ES
AMB,27.10_NK,TLW,ES
AMB,27.12.c,TLW,ES
AMB,27.8.c,TLW,ES
AMB,27.9.a,TLW,ES
AMB,27.9.b,TLW,ES
AMB,27.9.b.1,TLW,ES
AMB,27.9.b_NK,TLW,ES
AMB,27.4,TLW,FR
AMB,27.6,TLW,FR
AMB,27.7,TLW,FR
AMB,27.8,TLW,FR
AMB,27,TLW,FR
AMB,27.4.c,TLW,FR
AMB,27.6.a,TLW,FR
AMB,27.7.d,TLW,FR
AMB,27.7.h,TLW,FR
AMB,27.8.a,TLW,FR
AMB,27.8.b,TLW,FR
AMB,27_NK,TLW,FR
AMB,27.9,TLW,PT
AMB,27,TLW,PT
AMB,27.1,TLW,PT
AMB,27.10.a,TLW,PT
AMB,27.10.a.2,TLW,PT
AMB,27.10.a_NK,TLW,PT
AMB,27.10_NK,TLW,PT
AMB,27.9.a,TLW,PT
AMB,27.9.b,TLW,PT
AMB,27.9.b_NK,TLW,PT
AMX,27.9,TLW,PT
AMX,27,TLW,PT
AMX,27.1,TLW,PT
AMX,27.10.a,TLW,PT
AMX,27.10.a.2,TLW,PT
AMX,27.10.a_NK,TLW,PT
AMX,27.10_NK,TLW,PT
AMX,27.9.a,TLW,PT
AMX,27.9_NK,TLW,PT
ANE,27.3,TLW,DE
ANE,27.4,TLW,DE
ANE,27.7,TLW,DE
ANE,27,TLW,DE
ANE,27.3.c.22,TLW,DE
ANE,27.4.b,TLW,DE
ANE,27.7.e,TLW,DE
ANE,27.3,TLW,DK
ANE,27.4,TLW,DK
ANE,27.7,TLW,DK
ANE,27,TLW,DK
ANE,27.3.a,TLW,DK
ANE,27.3.c.22,TLW,DK
ANE,27.3.d,TLW,DK
ANE,27.3.d.26,TLW,DK
ANE,27.3.d.27,TLW,DK
ANE,27.3.d.28,TLW,DK
ANE,27.3.d.28.2,TLW,DK
ANE,27.3.d.29,TLW,DK
ANE,27.3.d.30,TLW,DK
ANE,27.4.a,TLW,DK
ANE,27.4.b,TLW,DK
ANE,27.4.c,TLW,DK
ANE,27.7.e,TLW,DK
